course_id,course_title,url,is_paid,level,subject,language,img
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
1113822,Complete GST Course & Certification  Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,TRUE,Intermediate LevelLevel,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
1210588,Beginner to Pro  Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,TRUE,Intermediate LevelLevel,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,TRUE,Beginner Level,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,TRUE,Expert Level,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,TRUE,All Levels,Business Finance,English,https://as1.ftcdn.net/v2/jpg/02/74/81/50/1000_F_274815082_I6ahV1Ujz7w0IUzpvncCwFW2m2h9b4Jk.jpg
